2023-02-01 09:43:03 [INFO]    X2MindSpore start working now, please wait for a moment.
2023-02-01 09:43:03 [INFO]    Analysis start...
2023-02-01 09:43:03 [INFO]    [  0.00%] .project is not a python script, skip.
2023-02-01 09:43:03 [INFO]    [  0.00%] Start analysis inference.py.
2023-02-01 09:43:03 [INFO]    [  0.00%] Line: 26 ApiType: SUPPORTED Message: The corresponding api of "torch.from_numpy" is "mindspore.tensor.from_numpy", will be converted to "x2ms_adapter.from_numpy" by x2mindspore.
2023-02-01 09:43:03 [INFO]    [ 50.00%] Analysis inference.py complete.
2023-02-01 09:43:03 [INFO]    [ 50.00%] x2mindspore.log is not a python script, skip.
2023-02-01 09:43:03 [INFO]    [ 50.00%] Start analysis model.py.
2023-02-01 09:43:04 [WARNING] [ 50.00%] Line: 9 ApiType: UNSUPPORTED Message: "torch.nn.SyncBatchNorm" is not supported.
2023-02-01 09:43:04 [INFO]    [ 50.00%] Line: 15 ApiType: SUPPORTED Message: The corresponding api of "torch.nn.Conv2d" is "mindspore.nn.Conv2d", will be converted to "x2ms_nn.Conv2d" by x2mindspore.
2023-02-01 09:43:04 [INFO]    [ 50.00%] Line: 19 ApiType: SUPPORTED Message: The corresponding api of "torch.nn.Module" is "mindspore.nn.Cell", will be converted to "nn.Cell" by x2mindspore.
2023-02-01 09:43:04 [INFO]    [ 50.00%] Line: 26 ApiType: SUPPORTED Message: The corresponding api of "torch.nn.ReLU" is "mindspore.nn.ReLU", will be converted to "x2ms_nn.ReLU" by x2mindspore.
2023-02-01 09:43:04 [INFO]    [ 50.00%] Line: 53 ApiType: SUPPORTED Message: The corresponding api of "torch.nn.Module" is "mindspore.nn.Cell", will be converted to "nn.Cell" by x2mindspore.
2023-02-01 09:43:04 [INFO]    [ 50.00%] Line: 58 ApiType: SUPPORTED Message: The corresponding api of "torch.nn.Conv2d" is "mindspore.nn.Conv2d", will be converted to "x2ms_nn.Conv2d" by x2mindspore.
